correct: 0.971 
antenna 1 stay longer 


Key: Tag1, Value: E28068940000401D6E135DC6
Key: Tag2, Value: E28068940000501D6E13EDC6
Key: Tag3, Value: E28068940000401D6E13B5C6
Key: Tag4, Value: E28068940000401D6E136DC6
Key: Tag5, Value: 000000000000000000001088
*SGo* -- Listen on :16311
--- {E28068940000501D6E13EDC6 17 1740496788029725 -50}
--- {E28068940000501D6E13EDC6 17 1740496788037088 -50}
--- {E28068940000501D6E13EDC6 17 1740496788071384 -50}
--- {E28068940000501D6E13EDC6 17 1740496788080638 -50}
--- {E28068940000501D6E13EDC6 17 1740496788128892 -50}
--- {E28068940000501D6E13EDC6 17 1740496788136450 -50}
--- {E28068940000501D6E13EDC6 17 1740496788173375 -50}
--- {E28068940000501D6E13EDC6 17 1740496788184721 -50}
--- {E28068940000501D6E13EDC6 17 1740496788221490 -50}
--- {E28068940000501D6E13EDC6 17 1740496788226262 -50}
--- 11
--- {E28068940000501D6E13EDC6 17 1740496788267827 -50}
--- {E28068940000501D6E13EDC6 17 1740496788271967 -50}
--- {E28068940000501D6E13EDC6 17 1740496788318306 -50}
--- {E28068940000501D6E13EDC6 17 1740496788325035 -50}
--- {E28068940000501D6E13EDC6 17 1740496788361120 -50}
--- {E28068940000501D6E13EDC6 17 1740496788372223 -50}
--- {E28068940000501D6E13EDC6 17 1740496788406702 -50}
--- {E28068940000501D6E13EDC6 17 1740496788416554 -50}
--- {E28068940000501D6E13EDC6 17 1740496788451910 -50}
--- {E28068940000501D6E13EDC6 17 1740496788464990 -50}
--- {E28068940000501D6E13EDC6 17 1740496788501571 -50}
--- 11
--- {E28068940000501D6E13EDC6 17 1740496788519212 -50}
--- {E28068940000501D6E13EDC6 17 1740496788553205 -50}
--- {E28068940000501D6E13EDC6 17 1740496788563183 -51}
--- {E28068940000501D6E13EDC6 17 1740496788600703 -51}
--- {E28068940000501D6E13EDC6 17 1740496788606979 -51}
--- {E28068940000501D6E13EDC6 17 1740496788644358 -51}
--- {E28068940000501D6E13EDC6 17 1740496788654539 -51}
--- {E28068940000501D6E13EDC6 17 1740496788690308 -51}
--- {E28068940000501D6E13EDC6 17 1740496788697699 -51}
--- {E28068940000501D6E13EDC6 17 1740496788741151 -51}
--- {E28068940000501D6E13EDC6 17 1740496788751002 -51}
--- 10
--- {E28068940000501D6E13EDC6 17 1740496788783463 -51}
--- {E28068940000501D6E13EDC6 17 1740496788794886 -51}
--- {E28068940000501D6E13EDC6 17 1740496788829393 -51}
--- {E28068940000501D6E13EDC6 17 1740496788839930 -51}
--- {E28068940000501D6E13EDC6 17 1740496788878670 -51}
--- {E28068940000501D6E13EDC6 17 1740496788886123 -51}
--- {E28068940000501D6E13EDC6 17 1740496788932022 -51}
--- {E28068940000501D6E13EDC6 17 1740496788938357 -51}
--- {E28068940000501D6E13EDC6 17 1740496788977657 -51}
--- {E28068940000501D6E13EDC6 17 1740496788985128 -51}
--- 11
--- {E28068940000501D6E13EDC6 17 1740496789019311 -51}
--- {E28068940000501D6E13EDC6 17 1740496789031379 -52}
--- {E28068940000501D6E13EDC6 17 1740496789064066 -51}
--- {E28068940000501D6E13EDC6 17 1740496789074608 -52}
--- {E28068940000501D6E13EDC6 17 1740496789120709 -50}
--- {E28068940000501D6E13EDC6 17 1740496789129048 -50}
--- {E28068940000501D6E13EDC6 17 1740496789164544 -50}
--- {E28068940000501D6E13EDC6 17 1740496789176515 -50}
--- {E28068940000501D6E13EDC6 17 1740496789209749 -51}
--- {E28068940000501D6E13EDC6 17 1740496789216321 -51}
--- {E28068940000501D6E13EDC6 17 1740496789257318 -51}
--- 11
--- {E28068940000501D6E13EDC6 17 1740496789265595 -50}
--- {E28068940000501D6E13EDC6 17 1740496789298279 -50}
--- {E28068940000501D6E13EDC6 17 1740496789317568 -52}
--- {E28068940000501D6E13EDC6 17 1740496789351041 -51}
--- {E28068940000501D6E13EDC6 17 1740496789362022 -51}
--- {E28068940000501D6E13EDC6 17 1740496789398301 -51}
--- {E28068940000501D6E13EDC6 17 1740496789407888 -51}
