result: 0.795 


Key: Tag1, Value: E28068940000401D6E135DC6
Key: Tag2, Value: E28068940000501D6E13EDC6
Key: Tag3, Value: E28068940000401D6E13B5C6
Key: Tag4, Value: E28068940000401D6E136DC6
Key: Tag5, Value: 000000000000000000001088
*SGo* -- Listen on :16311
RFID ready to run
RFID ready to run
--- 6
--- {E28068940000401D6E136DC6 17 1738680497178456 -48}
--- {E28068940000401D6E136DC6 17 1738680497188633 -48}
--- {E28068940000401D6E136DC6 17 1738680497224994 -49}
--- {E28068940000401D6E136DC6 17 1738680497233858 -50}
--- {E28068940000401D6E136DC6 17 1738680497271629 -49}
--- {E28068940000401D6E136DC6 17 1738680497279667 -49}
--- {E28068940000401D6E136DC6 17 1738680497314454 -49}
--- {E28068940000401D6E136DC6 17 1738680497323267 -48}
--- {E28068940000401D6E136DC6 17 1738680497368532 -49}
--- {E28068940000401D6E136DC6 17 1738680497374271 -49}
--- {E28068940000401D6E136DC6 17 1738680497412428 -49}
--- {E28068940000401D6E136DC6 17 1738680497419644 -49}
--- {E28068940000401D6E136DC6 17 1738680497456407 -48}
--- {E28068940000401D6E136DC6 17 1738680497462739 -48}
--- {E28068940000401D6E136DC6 17 1738680497499781 -48}
--- {E28068940000401D6E136DC6 17 1738680497507194 -48}
--- {E28068940000401D6E136DC6 17 1738680497547270 -48}
--- {E28068940000401D6E136DC6 17 1738680497555435 -48}
--- {E28068940000401D6E136DC6 17 1738680497595746 -49}
--- {E28068940000401D6E136DC6 17 1738680497602530 -50}
--- {E28068940000401D6E136DC6 17 1738680497640866 -50}
--- {E28068940000401D6E136DC6 17 1738680497651299 -50}
--- {E28068940000401D6E136DC6 17 1738680497687291 -50}
--- {E28068940000401D6E136DC6 17 1738680497695498 -50}
--- {E28068940000401D6E136DC6 17 1738680497730152 -51}
--- {E28068940000401D6E136DC6 17 1738680497740902 -51}
--- {E28068940000401D6E136DC6 17 1738680497781430 -49}
--- {E28068940000401D6E136DC6 17 1738680497792252 -49}
--- {E28068940000401D6E136DC6 17 1738680497828624 -50}
--- {E28068940000401D6E136DC6 17 1738680497837464 -50}
--- {E28068940000401D6E136DC6 17 1738680497873761 -51}
--- {E28068940000401D6E136DC6 17 1738680497879240 -51}
--- {E28068940000401D6E136DC6 17 1738680497918113 -52}
--- {E28068940000401D6E136DC6 17 1738680497927593 -52}
--- {E28068940000401D6E136DC6 17 1738680497960831 -52}
--- {E28068940000401D6E136DC6 17 1738680497967877 -52}
--- {E28068940000401D6E136DC6 17 1738680498014077 -54}
--- {E28068940000401D6E136DC6 17 1738680498024738 -54}
--- {E28068940000401D6E136DC6 17 1738680498057406 -54}
--- {E28068940000401D6E136DC6 17 1738680498068613 -55}
--- {E28068940000401D6E136DC6 17 1738680498102819 -55}
--- {E28068940000401D6E136DC6 17 1738680498109617 -54}
--- {E28068940000401D6E136DC6 17 1738680498150082 -54}
--- {E28068940000401D6E136DC6 17 1738680498154818 -54}
--- {E28068940000401D6E136DC6 17 1738680498203577 -53}
--- {E28068940000401D6E136DC6 17 1738680498212299 -53}
--- {E28068940000401D6E136DC6 17 1738680498248108 -53}
--- {E28068940000401D6E136DC6 17 1738680498253023 -53}
--- {E28068940000401D6E136DC6 17 1738680498292877 -53}
--- {E28068940000401D6E136DC6 17 1738680498300518 -53}
--- {E28068940000401D6E136DC6 17 1738680498334042 -53}
--- {E28068940000401D6E136DC6 17 1738680498344025 -53}
--- {E28068940000401D6E136DC6 17 1738680498389193 -54}
--- {E28068940000401D6E136DC6 17 1738680498397210 -55}
--- {E28068940000401D6E136DC6 17 1738680498434432 -54}
--- {E28068940000401D6E136DC6 17 1738680498442028 -54}
--- {E28068940000401D6E136DC6 17 1738680498479203 -54}
--- {E28068940000401D6E136DC6 17 1738680498489317 -54}
--- {E28068940000401D6E136DC6 17 1738680498522418 -54}
--- {E28068940000401D6E136DC6 17 1738680498534074 -54}
--- {E28068940000401D6E136DC6 17 1738680498568181 -54}
--- {E28068940000401D6E136DC6 17 1738680498573146 -54}
